"","campaign_name","ad_name","image_video_and_slideshow","ad_set_name","reach","impressions","result_type","results","amount_spent_usd","starts","ends","link_clicks","cost_per_result","audience","restriction18_39","campaign_theme","version","video_theme"
"201","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (797159248349392)","Lookalikes (Cause-led V3)",49,57,NA,NA,0.46,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Animal"
"202","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Philanthropy (Cause-led V3)",26,47,NA,NA,0.45033944596176,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Climate"
"203","Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","Free Effective Giving Guide 2021 (866994837312979)","Climate Change + Lookalikes (18-39)",20,27,NA,NA,0.44,2022-01-07,2022-01-17,NA,NA,"Climate",1,"Hypercube","Video/creatives","Hypercube (factual)"
"204","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","cropped_4X5_(x, y)_(0, 155)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Climate Change.m4v (321584443149131)","Philanthropy (Cause-led V3)",31,33,NA,NA,0.42031681623098,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Climate"
"205","Giving Guide 2021 – Cause-led V3","Lookalikes (Cause-led V3)","Auto_Cropped_AR_4_X_5_DCO_V2_ggwc_emotional_set_2 (1).mp4 (517919683219212)","Lookalikes (Cause-led V3)",14,17,NA,NA,0.42,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Cause-led","V3 - sometimes Luke","Climate"
"206","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Retargeting (18-39)",26,34,NA,NA,0.42,2022-01-07,2022-01-18,NA,NA,"Retargeting",1,"'Optimized' PPCo","Video/creatives","Climate"
"207","Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Philanthropy (Factual V3)",14,24,NA,NA,0.41,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Factual","V3 - sometimes Luke","Factual short"
"208","Giving Guide 2021 - Cause-led","Philanthropy (Cause-led)","ggwc_emotional_set_2 (1).mp4 (717231612998210)","Retargeting (Cause-led)",6,7,NA,NA,0.40340862422998,2021-12-03,2021-12-20,NA,NA,"Retargeting",0,"Cause-led","V1","Climate"
"209","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Global Poverty + Lookalikes (18-39)",20,21,NA,NA,0.4,2022-01-07,2022-01-17,NA,NA,"Global Poverty",1,"'Optimized' PPCo","Video/creatives","Poverty"
"210","Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2882597425296145)","Philanthropy (Factual V3)",17,18,NA,NA,0.38,2021-12-23,2022-01-04,1,NA,"Philanthropy",1,"Factual","V3 - sometimes Luke","Factual short"
"211","Giving Guide 2021 – Cause-led V3","Global Poverty (Cause-led V3)","cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (265751598880484)","Global Poverty (Cause-led V3)",40,45,NA,NA,0.38,2021-12-23,2022-01-04,NA,NA,"Global Poverty",1,"Cause-led","V3 - sometimes Luke","Poverty"
"212","Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Lookalikes (Factual V3)",5,8,NA,NA,0.37,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Factual","V3 - sometimes Luke","Factual short"
"213","Giving Guide 2021 – Factual V3","Retargeting (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Retargeting (Factual V3)",25,36,NA,NA,0.36,2021-12-23,2022-01-04,NA,NA,"Retargeting",1,"Factual","V3 - sometimes Luke","Factual short"
"214","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2892970644258823)","Lookalikes (18-39)",8,9,NA,NA,0.34,2022-01-07,2022-01-17,NA,NA,"Lookalikes",1,"'Optimized' PPCo","Video/creatives","Factual short"
"215","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy + Lookalikes (18-39)",6,8,NA,NA,0.32,2022-01-07,2022-01-17,NA,NA,"Philanthropy",1,"'Optimized' PPCo","Video/creatives","Animal"
"216","Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","cropped_4X5_(x, y)_(0, 394)_width_1080px_height_1354px_New Giving Guide Video Ad Filmed Factual Short.m4v (487059362838361)","Animal Welfare (Factual V3)",27,31,NA,NA,0.31002320359281,2021-12-23,2022-01-04,NA,NA,"Animal",1,"Factual","V3 - sometimes Luke","Factual short"
"217","Giving Guide 2021 – Cause-led V3","Philanthropy (Cause-led V3)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (Cause-led V3)",28,35,NA,NA,0.28021121082065,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Cause-led","V3 - sometimes Luke","Poverty"
"218","Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V3_gg_factual_short.mp4 (903414973700596)","Philanthropy (Factual V3)",16,17,NA,NA,0.28,2021-12-23,2022-01-04,NA,NA,"Philanthropy",1,"Factual","V3 - sometimes Luke","Factual short"
"219","Giving Guide 2021 – PPCo Creatives","Cause-led + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare  + Lookalikes (18-39)",5,6,NA,NA,0.27,2022-01-07,2022-01-17,NA,NA,"Animal",1,"'Optimized' PPCo","Video/creatives","Factual short"
"220","Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V3_gg_factual_short.mp4 (903415143700579)","Climate Change (Factual V3)",35,38,NA,NA,0.27,2021-12-23,2022-01-04,NA,NA,"Climate",1,"Factual","V3 - sometimes Luke","Factual short"
"221","Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","Auto_Cropped_AR_4_X_5_DCO_V4_gg_factual_short.mp4 (2882597715296116)","Lookalikes (Factual V3)",17,18,NA,NA,0.27,2021-12-23,2022-01-04,NA,NA,"Lookalikes",1,"Factual","V3 - sometimes Luke","Factual short"
