Campaign name,Ad Set Name,Age,Gender,Video,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
Giving Guide 2021 – Factual V3,Climate Change (Factual V3),13-17,male,gg_factual_short.mp4,6,6,1,,,,0.03,5,,,,0,0,5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v,0,3,0,,,,0.02,6.6716955,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Climate Change (Factual V2),13-17,female,gg_factual_short.mp4,0,1,0,,,,0.01,10.02622899,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,male,ggwc_emotional_set_2 (1).mp4,3,3,1,,,,0.01,3.33333333,,,,0,0,3.33333333,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,female,ggwc_emotional_set_2 (1).mp4,2,4,2,,,,0.21,52.5,,,,0,0,105,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,unknown,gg_factual_short.mp4,4,5,1.25,,,,0.01,2,,,,0,0,2.5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,female,gg_factual_short.mp4,8,8,1,,,,0.18,22.5,,,,0,0,22.5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,male,gg_factual_short.mp4,8,8,1,,,,0.05,6.25,,,,0,0,6.25,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),13-17,male,gg_factual_short.mp4,1,1,1,,,,0.01,9.99765671,,,,0,0,9.99765671,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,female,gg_factual_short.mp4,4,5,1.25,,,,0.03,6,,,,0,0,7.5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Climate Change (Factual V3),13-17,unknown,gg_factual_short.mp4,0,1,0,,,,0.00,0,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,ggwc_emotional_set_3 (1).mp4,4,4,1,,,,0.04,10.00754324,,,,0,0,10.00754324,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),13-17,male,gg_factual_short.mp4,2,2,1,,,,0.02,10,,,,0,0,10,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Global Poverty (18-39),13-17,female,gg_factual_short.mp4,3,5,1.666666667,,,,0.04,8,,,,0,0,13.33333333,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Lookalikes (Factual V2),13-17,female,gg_factual_short.mp4,0,2,0,,,,0.02,10.01705619,,,,0,0,,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,"cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,"cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,"cropped_4X5_(x, y)_(0, 158)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,male,"cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v",1,1,1,,,,0.01,10.00754324,,,,0,0,10.00754324,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,female,"cropped_4X5_(x, y)_(0, 172)_width_720px_height_899px_New Giving Guide Video Ad Filmed Emotional - Animals.m4v",4,4,1,,,,0.03,7.50565743,,,,0,0,7.50565743,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,unknown,ggwc_emotional_set_3 (1).mp4,4,4,1,,,,0.02,5.00377162,,,,0,0,5.00377162,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,male,gg_factual_short.mp4,0,3,0,,,,0.00,0,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,unknown,gg_factual_short.mp4,0,1,0,,,,0.01,10,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,female,ggwc_emotional_set_3 (1).mp4,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,male,23849025487530764,6,6,1,,,,0.29,48.33333333,,,,0,0,48.33333333,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,unknown,23849025487530764,4,9,2.25,,,,0.14,15.55555556,,,,0,0,35,,,,,2021-11-01,2022-01-20
